transaction_id,customer_id,payment_date,amount,payment_method,payment_status
222,4277,2023-11-10,1049,Card,Paid
223,6824,2024-01-02,802,UPI,Paid
224,4460,2023-01-30,617,Wallet,Late
225,14781,2023-06-18,2024,UPI,Paid
226,9040,2023-09-21,1362,Wallet,Paid
227,6158,2024-02-03,1097,Card,Paid
228,10518,2023-08-07,1275,Wallet,Paid
229,3396,2023-09-01,2439,UPI,Paid
230,2799,2024-11-23,2256,Net Banking,Paid
231,5201,2023-03-28,2499,Wallet,Paid
232,9603,2025-02-28,2360,Wallet,Paid
233,12995,2023-04-17,1261,Card,Paid
234,1446,2023-04-25,700,UPI,Paid
235,2445,2023-08-28,1687,UPI,Paid
236,14688,2024-01-19,447,Card,Failed
237,9655,2023-11-17,1165,Net Banking,Paid
238,10994,2025-04-08,905,UPI,Paid
239,1794,2024-06-27,795,Net Banking,Paid
240,12908,2023-02-24,646,Wallet,Paid
241,13989,2024-11-03,619,UPI,Paid
242,7534,2024-06-02,2225,Wallet,Paid
243,12524,2023-08-22,669,Card,Paid
244,10957,2024-01-30,1693,Wallet,Paid
245,349,2023-08-13,2035,Net Banking,Paid
246,717,2023-12-04,497,Net Banking,Paid
247,13234,2024-10-15,1022,UPI,Paid
248,10388,2024-03-23,1346,UPI,Paid
249,817,2024-10-09,2495,UPI,Paid
250,12025,2023-06-28,866,Card,Paid
251,907,2024-10-02,703,Net Banking,Paid
252,11752,2024-12-29,529,Wallet,Paid
253,6450,2025-04-22,2062,Card,Paid
254,8745,2023-04-16,2156,Card,Paid
255,12407,2024-07-20,1875,Net Banking,Paid
256,4681,2025-03-24,2469,Wallet,Late
257,9220,2024-10-07,1613,Card,Paid
258,12843,2023-10-19,643,Card,Paid
259,9935,2025-05-11,719,Card,Paid
260,4127,2024-04-06,985,Net Banking,Late
261,4620,2023-04-10,2477,Card,Paid
262,11861,2023-02-14,1774,Wallet,Paid
263,1392,2024-11-16,1360,UPI,Paid
264,14750,2023-10-07,1790,Wallet,Paid
265,2732,2024-02-27,544,UPI,Failed
266,9175,2023-11-25,2152,UPI,Late
267,843,2024-05-21,1946,Card,Paid
268,3108,2023-06-09,995,UPI,Late
269,6681,2023-05-08,2032,UPI,Late
270,2887,2024-09-21,1989,UPI,Failed
271,5938,2023-10-22,971,UPI,Failed
272,840,2024-02-10,1575,Card,Paid
273,4473,2023-09-22,1620,Card,Paid
274,12694,2024-10-21,428,Wallet,Paid
275,548,2024-04-03,492,Wallet,Paid
276,1638,2024-06-28,991,Net Banking,Failed
277,1155,2025-06-10,366,Card,Paid
278,4174,2023-09-02,837,Card,Paid
279,7707,2023-10-14,933,Net Banking,Paid
280,484,2025-05-09,2089,Net Banking,Paid
281,9050,2023-12-22,550,Net Banking,Paid
282,12807,2023-02-05,803,Net Banking,Paid
283,421,2023-04-23,2244,Wallet,Paid
284,1068,2024-05-28,1975,UPI,Paid
285,3144,2023-03-07,974,Wallet,Paid
286,7784,2023-12-28,1211,Net Banking,Paid
287,13244,2024-04-09,1149,Card,Paid
288,692,2024-06-08,1606,Wallet,Paid
289,10372,2025-05-22,350,Net Banking,Paid
290,6635,2023-01-23,643,Net Banking,Paid
291,3827,2024-10-02,665,Net Banking,Paid
292,11394,2023-02-05,346,Card,Late
293,12177,2024-03-20,765,Card,Paid
294,6900,2024-02-23,2116,Net Banking,Late
295,11509,2025-05-31,2470,Wallet,Paid
296,9941,2024-10-14,329,Net Banking,Paid
297,10468,2023-04-19,804,UPI,Paid
298,14548,2025-05-03,1370,Net Banking,Paid
299,670,2025-05-13,1440,Card,Paid
300,11184,2024-07-28,1839,Card,Paid
301,12651,2023-02-12,749,Wallet,Paid
302,8834,2024-05-14,1190,Net Banking,Paid
303,10063,2024-04-15,1159,Net Banking,Paid
304,14146,2023-08-20,1027,Net Banking,Late
305,12699,2024-03-26,2281,Wallet,Paid
306,13205,2023-05-19,2191,Card,Paid
307,4825,2024-10-30,919,UPI,Late
308,7773,2025-03-31,1804,UPI,Paid
309,389,2023-02-10,2087,Net Banking,Paid
310,8001,2023-12-12,437,Card,Failed
311,11033,2023-07-24,1890,Card,Paid
312,4842,2025-03-16,1870,Net Banking,Paid
313,1817,2023-12-02,535,UPI,Paid
314,11824,2024-05-15,462,Card,Late
315,5131,2024-01-22,498,Wallet,Paid
316,7649,2024-05-24,2157,UPI,Paid
317,2797,2023-03-26,1258,Net Banking,Paid
318,2067,2024-07-09,1965,Card,Paid
319,12521,2024-03-22,519,Card,Paid
320,11538,2023-05-14,515,Net Banking,Paid
321,13042,2024-04-07,2129,Card,Paid
322,3079,2024-12-29,843,UPI,Paid
323,3965,2023-04-30,2207,UPI,Late
324,855,2024-09-26,2448,Net Banking,Paid
325,8196,2023-08-11,585,Net Banking,Paid
326,10389,2023-03-18,446,UPI,Paid
327,1152,2023-12-25,2003,Net Banking,Paid
328,41,2024-08-21,2030,Card,Paid
329,6733,2023-01-29,1809,UPI,Paid
330,3803,2024-06-25,924,Net Banking,Paid
331,14726,2023-08-10,359,Card,Paid
332,13773,2024-09-05,704,Wallet,Paid
333,9151,2024-09-02,2145,Wallet,Failed
334,13458,2025-01-26,579,Wallet,Paid
335,6939,2024-01-25,593,Wallet,Paid
336,9687,2025-04-01,789,UPI,Paid
337,2734,2023-06-28,1950,Net Banking,Late
338,5498,2025-01-24,1878,UPI,Paid
339,4910,2024-10-27,2117,UPI,Paid
340,7647,2023-01-12,2397,UPI,Paid
341,8789,2025-02-23,1048,Wallet,Paid
342,8153,2023-12-06,1157,Net Banking,Paid
343,1067,2025-03-24,2149,UPI,Paid
344,8912,2024-06-11,1050,Net Banking,Paid
345,1074,2024-09-10,520,Card,Paid
346,12112,2024-11-16,1816,Net Banking,Paid
347,6375,2023-05-28,1860,Wallet,Paid
348,3349,2023-08-16,792,Net Banking,Paid
349,5617,2025-01-14,375,Wallet,Paid
350,1664,2025-05-24,1174,Card,Late
351,9505,2023-04-14,2391,UPI,Paid
352,12508,2023-04-24,2399,Net Banking,Paid
353,8222,2023-12-30,709,Card,Paid
354,9086,2023-12-02,385,Card,Paid
355,3969,2024-09-06,416,UPI,Paid
356,5829,2024-05-08,1057,Wallet,Paid
357,7201,2023-08-19,2423,UPI,Paid
358,13305,2023-08-03,1534,Card,Paid
359,14411,2023-04-29,685,UPI,Paid
360,6393,2023-09-16,1635,UPI,Paid
361,12104,2024-05-21,823,Card,Late
362,14431,2023-12-12,1359,Net Banking,Paid
363,4309,2024-10-13,1174,Card,Paid
364,3161,2024-08-02,1250,UPI,Paid
365,1170,2024-09-07,2276,Wallet,Failed
366,11148,2025-02-13,650,Net Banking,Paid
367,3980,2023-06-02,1067,Card,Paid
368,8675,2024-11-10,1553,Card,Paid
369,6592,2024-05-27,1715,UPI,Paid
370,9501,2024-09-25,1580,Wallet,Paid
371,7886,2023-04-15,1401,Net Banking,Late
372,10573,2024-05-22,2401,Card,Paid
373,13075,2024-09-15,1528,Net Banking,Paid
374,11348,2024-05-09,1651,Net Banking,Paid
375,6402,2024-08-06,1152,UPI,Paid
376,6474,2025-05-15,2111,UPI,Paid
377,292,2023-11-20,745,Wallet,Paid
378,12177,2025-01-16,985,Net Banking,Paid
379,13703,2023-11-14,521,Net Banking,Paid
380,11236,2025-01-03,409,Card,Paid
381,2322,2024-10-06,1324,UPI,Paid
382,2829,2023-02-19,1175,Card,Failed
383,3021,2025-03-27,1150,Card,Paid
384,10812,2024-07-24,1607,Net Banking,Paid
385,9192,2023-07-20,1240,Card,Paid
386,10124,2025-04-30,2196,UPI,Paid
387,11087,2023-12-30,493,Card,Late
388,11260,2025-01-03,697,UPI,Paid
389,12720,2025-04-07,1004,UPI,Paid
390,2739,2024-03-24,1439,Net Banking,Paid
391,3173,2024-04-14,1264,Wallet,Paid
392,12867,2023-09-08,1315,UPI,Paid
393,3004,2023-05-12,1489,Card,Failed
394,4490,2024-11-06,1921,Net Banking,Paid
395,8983,2023-04-07,1167,UPI,Late
396,5252,2024-10-18,354,UPI,Late
397,14060,2024-01-13,1406,Card,Paid
398,6270,2023-12-21,1884,Wallet,Paid
399,6169,2024-03-05,1060,Wallet,Failed
400,7105,2023-10-13,2318,Net Banking,Paid
401,14525,2023-01-08,2078,Wallet,Paid
402,7237,2024-05-04,1688,Net Banking,Paid
403,453,2025-05-10,1452,Card,Late
404,3119,2023-07-15,1718,Card,Paid
405,2331,2024-07-11,418,Net Banking,Paid
406,3709,2023-07-22,2073,Wallet,Paid
407,10942,2024-03-05,2047,Card,Late
408,8775,2024-12-22,603,Net Banking,Paid
409,10801,2023-04-06,1646,Wallet,Paid
410,8509,2025-01-10,1601,UPI,Paid
411,7000,2024-08-06,943,Card,Paid
412,8535,2024-05-29,2276,Net Banking,Paid
413,456,2023-08-12,977,UPI,Paid
414,13726,2024-12-19,1111,Card,Paid
415,12063,2023-05-30,1286,Card,Paid
416,11664,2024-10-07,975,UPI,Paid
417,4444,2023-01-11,890,Wallet,Paid
418,9409,2023-12-07,420,UPI,Paid
419,9995,2024-03-17,2156,Wallet,Paid
420,11710,2023-05-25,891,Wallet,Paid
421,3366,2023-09-28,888,Card,Paid
422,13783,2024-06-15,1271,UPI,Paid
423,864,2025-06-18,2087,Card,Paid
424,10208,2023-04-28,840,Net Banking,Failed
425,1791,2023-07-15,671,Card,Paid
426,8447,2025-06-15,1338,Card,Paid
427,6237,2024-12-18,564,Card,Failed
428,5983,2023-11-07,896,UPI,Late
429,8763,2024-07-08,1966,Card,Paid
430,11411,2024-11-30,352,Wallet,Paid
431,12553,2023-12-01,540,UPI,Failed
432,2656,2024-07-05,1553,Net Banking,Paid
433,9055,2025-06-04,852,Net Banking,Paid
434,2839,2023-08-26,2126,UPI,Paid
435,2926,2024-10-04,661,UPI,Paid
436,2133,2023-11-20,1229,Net Banking,Paid
437,11028,2023-09-02,1137,UPI,Paid
438,7021,2024-06-06,342,Card,Late
439,14393,2024-05-19,2301,Wallet,Paid
440,916,2024-06-18,1161,Wallet,Paid
441,380,2024-04-25,717,UPI,Late
442,3759,2025-05-31,1498,UPI,Paid
443,8397,2023-10-21,1347,Wallet,Paid
444,1927,2024-08-26,396,UPI,Paid
445,6072,2024-08-21,1163,Card,Paid
446,7796,2024-04-15,1668,Net Banking,Paid
447,3253,2025-01-19,1508,Card,Paid
448,8629,2024-10-17,1782,UPI,Paid
449,3409,2023-05-19,398,UPI,Paid
450,4671,2023-02-21,314,Net Banking,Paid
451,2206,2023-06-11,1675,UPI,Paid
452,196,2025-05-16,470,UPI,Paid
453,11780,2023-09-27,539,Card,Late
454,8178,2023-10-08,1038,Card,Paid
455,10405,2023-05-07,540,Wallet,Paid
456,14887,2023-11-11,1728,Card,Paid
457,13348,2024-06-18,677,Wallet,Paid
458,6799,2024-09-21,1706,Wallet,Paid
459,7638,2025-03-12,2056,UPI,Paid
460,14155,2023-04-26,354,Wallet,Late
461,2724,2023-12-07,762,Net Banking,Paid
462,5629,2025-01-01,2080,Wallet,Paid
463,2912,2023-03-29,1388,Net Banking,Paid
464,14099,2024-09-29,1044,Card,Paid
465,7184,2024-05-25,1336,Card,Paid
466,3914,2023-06-10,2032,UPI,Paid
467,4843,2024-07-06,890,UPI,Paid
468,3072,2025-03-15,945,Wallet,Paid
469,14335,2024-12-18,458,Net Banking,Paid
470,10155,2025-03-08,466,Wallet,Paid
471,11512,2023-06-17,2283,Card,Paid
472,11259,2024-10-19,662,Net Banking,Paid
473,2438,2023-01-09,503,Net Banking,Paid
474,9456,2023-03-26,1591,Card,Paid
475,2669,2023-01-28,2140,UPI,Paid
476,4218,2023-12-24,1860,UPI,Paid
477,12257,2025-03-23,1709,Wallet,Late
478,5332,2024-03-21,1506,Net Banking,Paid
479,14094,2025-02-11,2098,Card,Paid
480,7147,2024-08-18,521,Net Banking,Paid
481,1948,2023-08-06,1070,Card,Paid
482,14580,2023-08-02,708,UPI,Late
483,8444,2024-04-02,699,Wallet,Paid
484,1256,2023-02-19,870,Card,Paid
485,6790,2023-04-18,1147,Wallet,Paid
486,659,2025-01-10,1001,Net Banking,Paid
487,245,2024-09-04,1501,Wallet,Paid
488,12395,2025-02-15,1937,Wallet,Paid
489,11526,2023-12-02,1272,Wallet,Paid
490,13547,2025-04-01,2321,Card,Paid
491,12293,2024-08-04,399,Card,Paid
492,10434,2024-02-07,824,Wallet,Paid
493,3120,2024-08-20,877,Card,Paid
494,1222,2023-01-05,1241,Net Banking,Paid
495,5262,2024-09-21,1035,Card,Paid
496,5198,2025-01-29,1472,Card,Late
497,1374,2023-02-15,2368,Card,Failed
498,12077,2023-04-15,1836,UPI,Paid
499,1192,2024-08-14,937,Wallet,Paid
500,8862,2024-08-08,900,UPI,Late
501,3147,2023-08-14,753,Wallet,Paid
502,6734,2024-07-15,921,Card,Paid
503,13718,2025-06-13,1207,Wallet,Paid
504,9091,2025-05-08,1021,Card,Late
505,2461,2023-03-02,354,Wallet,Paid
506,48,2023-12-30,478,Net Banking,Paid
507,7406,2025-01-19,400,Net Banking,Paid
508,12808,2023-08-25,368,UPI,Paid
509,689,2023-02-17,2315,Wallet,Paid
510,13720,2025-01-15,649,Wallet,Paid
511,3973,2023-10-22,793,UPI,Paid
512,8959,2024-07-11,1439,UPI,Paid
513,12884,2023-09-12,1020,Wallet,Paid
514,11328,2023-03-18,1775,UPI,Paid
515,3205,2024-09-22,1396,Card,Paid
516,11953,2024-07-08,1963,Wallet,Paid
517,9414,2024-07-16,552,Wallet,Late
518,10716,2025-06-04,767,Wallet,Paid
519,5647,2024-07-09,889,Wallet,Paid
520,3643,2023-01-21,353,UPI,Paid
521,8282,2024-11-14,1773,Net Banking,Paid
522,3957,2024-11-12,802,Wallet,Paid
523,621,2023-10-23,1789,UPI,Paid
524,3605,2025-05-09,986,UPI,Paid
525,8533,2024-02-19,1539,Wallet,Paid
526,1545,2025-04-07,1008,Wallet,Paid
527,8623,2025-06-06,1368,UPI,Paid
528,13676,2024-02-12,951,Wallet,Paid
529,9641,2025-02-26,874,Net Banking,Paid
530,9784,2025-01-08,891,Card,Paid
531,14026,2023-01-04,981,Card,Paid
532,5552,2023-09-10,2189,Card,Paid
533,318,2023-11-07,550,UPI,Paid
534,10073,2023-01-08,1146,Net Banking,Paid
535,3157,2024-10-17,2131,Card,Paid
536,13026,2023-02-25,1550,Card,Paid
537,11935,2023-10-12,1037,UPI,Paid
538,706,2023-05-19,709,Net Banking,Paid
539,618,2024-04-03,1033,Card,Paid
540,2920,2024-11-19,1506,Wallet,Late
541,656,2024-03-07,1957,Net Banking,Paid
542,8867,2024-02-26,501,UPI,Paid
543,8881,2023-08-15,553,Net Banking,Late
544,14578,2023-12-16,564,Card,Late
545,13983,2023-08-28,2073,Card,Paid
546,4684,2024-01-04,580,Wallet,Paid
547,13110,2025-04-10,1544,Wallet,Paid
548,535,2025-01-04,1851,Wallet,Paid
549,5354,2024-09-21,2394,Net Banking,Failed
550,12268,2024-11-06,703,Wallet,Paid
551,9318,2024-03-16,2101,Wallet,Paid
552,9745,2024-03-16,2041,Wallet,Paid
553,1900,2024-12-28,658,Card,Paid
554,14350,2024-08-23,868,Wallet,Failed
555,7265,2023-11-20,1582,Wallet,Paid
556,1200,2024-05-12,2313,Card,Paid
557,3888,2024-08-11,1381,Net Banking,Failed
558,13318,2024-03-08,867,Net Banking,Paid
559,14103,2025-06-10,1158,Card,Late
560,304,2024-10-22,629,UPI,Late
561,7857,2024-10-26,1539,Net Banking,Paid
562,7997,2023-10-12,890,UPI,Paid
563,1695,2023-08-22,1118,Net Banking,Paid
564,13800,2023-07-19,1597,UPI,Paid
565,11909,2023-02-10,1119,Net Banking,Paid
566,3907,2023-08-17,910,UPI,Paid
567,678,2023-06-30,1351,UPI,Paid
568,8437,2023-09-30,1253,Wallet,Paid
569,14236,2023-10-19,2101,Net Banking,Late
570,4639,2024-10-25,355,UPI,Failed
571,2746,2024-03-30,2027,Wallet,Paid
572,7862,2024-04-27,1718,UPI,Paid
573,1041,2024-05-21,826,Wallet,Late
574,11968,2024-09-18,1498,Card,Paid
575,4365,2023-05-14,2101,Net Banking,Paid
576,9457,2025-05-03,1034,UPI,Paid
577,3029,2025-05-27,988,Wallet,Paid
578,2223,2023-09-19,1985,Wallet,Paid
579,14805,2023-03-09,1045,Net Banking,Late
580,6662,2023-02-20,2257,Wallet,Paid
581,6154,2024-04-03,1818,Net Banking,Paid
582,8762,2023-01-18,1591,UPI,Paid
583,2600,2025-05-22,2423,Net Banking,Paid
584,12814,2024-09-12,1366,Net Banking,Paid
585,12951,2025-04-13,655,UPI,Paid
586,12103,2025-02-19,365,UPI,Paid
587,11992,2023-04-16,1979,Card,Paid
588,8847,2023-03-19,1798,Wallet,Paid
589,12247,2023-02-15,447,Card,Paid
590,12585,2024-01-13,2370,UPI,Paid
591,8084,2023-05-29,595,Net Banking,Late
592,8832,2023-01-10,1064,Net Banking,Paid
593,14132,2024-10-31,350,UPI,Paid
594,7946,2023-11-08,2314,Wallet,Paid
595,1401,2024-02-19,2060,Wallet,Paid
596,343,2024-05-16,1676,UPI,Paid
597,6385,2023-06-25,546,Card,Paid
598,8755,2025-03-31,2487,Card,Paid
599,10091,2023-07-27,1473,Card,Paid
600,12398,2024-01-25,2053,Card,Paid
601,1596,2023-02-01,1175,Card,Paid
602,5116,2025-02-07,1698,Net Banking,Paid
603,2429,2025-03-06,2435,UPI,Paid
604,1247,2024-09-23,1263,Card,Paid
605,13174,2024-08-31,1240,Card,Paid
606,12806,2024-12-29,497,Wallet,Paid
607,624,2023-10-06,1757,Net Banking,Paid
608,13517,2024-03-15,379,UPI,Paid
