ticket_id,customer_id,issue_type,priority,resolution_days,satisfaction_score
670,2000,Technical,Medium,18,4
671,12869,Network,Medium,7,5
672,1248,Speed,Medium,4,2
673,5615,Speed,Medium,9,2
674,13782,Speed,High,10,1
675,10054,Technical,Medium,3,5
676,7899,Billing,Medium,12,4
677,9872,Billing,Low,6,4
678,8186,Refund,Medium,15,1
679,10852,Speed,Low,17,5
680,9410,Login,Low,9,4
681,2478,Technical,High,13,4
682,2652,Billing,Medium,17,3
683,2485,Speed,High,6,5
684,3339,Technical,Medium,5,5
685,715,Speed,High,5,1
686,8963,Refund,Low,8,3
687,13198,Refund,High,1,3
688,14668,Billing,Low,9,3
689,2374,Refund,Medium,3,3
690,12334,Refund,Low,4,5
691,14769,Refund,Low,17,5
692,7011,Billing,Low,1,1
693,38,Login,Medium,8,1
694,9407,Refund,Medium,18,5
695,10729,Login,High,19,1
696,3661,Refund,High,4,5
697,1533,Refund,Low,12,3
698,9762,Billing,Low,14,2
699,13021,Refund,Low,7,1
700,11472,Network,Low,9,3
701,9766,Speed,Low,15,5
702,9468,Refund,High,13,5
703,2277,Login,Medium,1,3
704,5145,Billing,High,4,2
705,10239,Billing,High,12,2
706,6650,Billing,Medium,13,2
707,9694,Network,High,14,1
708,11470,Network,Medium,10,1
709,1430,Speed,High,9,3
710,10851,Speed,Low,9,3
711,4483,Billing,High,18,1
712,14422,Network,High,2,5
713,3659,Technical,High,16,4
714,4212,Login,Medium,10,2
715,6775,Network,Low,14,5
716,10425,Network,Low,14,5
717,13687,Speed,High,16,3
718,6281,Speed,High,11,2
719,11511,Speed,Medium,7,5
720,8407,Billing,Medium,17,5
721,5710,Billing,Medium,2,1
722,8313,Billing,Medium,12,3
723,1439,Technical,Low,10,5
724,3849,Network,Medium,13,2
725,1857,Technical,Medium,11,1
726,14002,Billing,Medium,8,5
727,3631,Network,High,20,4
728,12314,Refund,Low,13,5
729,9749,Network,High,14,5
730,6890,Technical,Medium,8,3
731,5665,Speed,High,10,5
732,751,Refund,Low,14,3
733,4638,Billing,High,2,3
734,10740,Speed,High,5,2
735,5980,Billing,High,17,2
736,12775,Billing,High,15,2
737,9189,Speed,Low,10,3
738,958,Network,Low,13,4
739,2180,Network,Low,7,2
740,12104,Speed,Medium,2,1
741,14502,Refund,Low,9,1
742,2353,Speed,Low,12,3
743,14678,Technical,Medium,13,5
744,14354,Refund,Low,7,2
745,12356,Network,Low,17,1
746,2036,Speed,High,2,3
747,3127,Network,High,17,3
748,1695,Speed,Medium,13,3
749,5423,Technical,High,2,5
750,8093,Login,Low,6,3
751,13293,Network,High,4,1
752,9335,Login,Low,16,5
753,5879,Billing,High,1,1
754,5909,Login,Medium,19,3
755,5042,Login,High,14,1
756,6226,Network,Low,3,4
757,13603,Billing,High,14,2
758,10852,Login,High,10,3
759,6246,Billing,High,16,4
760,10280,Billing,Medium,18,2
761,1633,Speed,Low,19,1
762,10876,Speed,Low,13,4
763,558,Login,High,15,2
764,10858,Login,Medium,3,2
765,6382,Network,Low,1,5
766,6635,Billing,Medium,2,1
767,4263,Login,Medium,15,1
768,11546,Speed,Low,16,3
769,5279,Speed,Low,8,5
770,4349,Refund,Medium,13,5
771,7528,Billing,High,19,5
772,1857,Login,Medium,8,3
773,3175,Technical,Low,2,2
774,11667,Login,Low,6,2
775,5680,Speed,Low,5,2
776,8903,Refund,High,4,4
777,8737,Technical,High,20,2
778,8869,Login,High,13,3
779,12866,Refund,Low,15,4
780,3400,Speed,Medium,12,5
781,12192,Speed,High,3,5
782,8356,Billing,Low,14,2
783,12398,Speed,High,16,4
784,6511,Network,Medium,7,3
785,44,Billing,High,12,5
786,1328,Billing,Low,10,1
787,4182,Technical,Low,15,3
788,6531,Billing,Medium,15,5
789,14710,Refund,Low,9,2
790,1482,Network,Low,3,4
791,7852,Login,Low,6,1
792,8900,Network,Medium,14,5
793,2771,Billing,High,9,5
794,13054,Network,Low,8,3
795,2534,Network,High,11,5
796,6270,Network,High,17,4
797,367,Speed,High,18,5
798,5951,Speed,High,12,3
799,14367,Network,Medium,7,5
800,960,Speed,High,6,5
801,831,Refund,High,7,4
802,14604,Billing,High,10,1
803,10661,Billing,Medium,1,5
804,10249,Billing,Low,5,1
805,4546,Network,High,9,3
806,13226,Network,Low,6,2
807,3911,Refund,High,6,2
808,7547,Technical,Medium,2,5
809,5744,Speed,High,5,4
810,10492,Billing,Medium,18,3
811,3632,Speed,Medium,10,3
812,1319,Technical,Medium,7,5
813,8257,Network,High,18,4
814,9009,Technical,Low,19,1
815,4357,Refund,High,14,5
816,12945,Login,Low,18,2
817,4123,Network,Medium,12,1
818,6676,Refund,Medium,18,4
819,5783,Refund,Low,4,5
820,5568,Speed,Medium,16,1
821,914,Login,Medium,17,2
822,7828,Billing,Low,13,1
823,8010,Technical,Low,17,1
824,1228,Network,Low,14,4
825,11990,Speed,High,10,4
826,5096,Login,High,8,2
827,8061,Network,Medium,9,5
828,10770,Technical,Medium,14,4
829,14634,Network,Medium,18,3
830,12957,Speed,Medium,6,4
831,8090,Refund,Low,3,2
832,14865,Login,Low,10,4
833,14341,Billing,Medium,17,3
834,12172,Speed,High,18,1
835,14557,Technical,Low,3,1
836,5164,Network,Low,15,2
837,11330,Refund,High,8,5
838,13408,Network,High,16,4
839,13654,Speed,High,7,5
840,13703,Technical,Medium,12,1
841,507,Refund,Low,8,4
842,11382,Technical,Medium,11,5
843,6987,Speed,Low,20,2
844,300,Speed,High,6,3
845,13913,Network,High,3,2
846,12014,Billing,Medium,3,1
847,11943,Billing,Medium,17,3
848,684,Billing,High,7,1
849,615,Billing,Medium,20,3
850,10651,Technical,High,1,4
851,8305,Network,High,11,3
852,13456,Billing,High,19,1
853,26,Technical,High,5,4
854,9997,Speed,Low,10,4
855,5173,Network,Medium,1,4
856,2335,Login,Low,6,3
857,3582,Refund,Low,2,3
858,14483,Refund,Medium,9,2
859,6663,Speed,Medium,2,4
860,7201,Network,High,20,5
861,7499,Billing,Medium,19,4
862,1393,Login,Low,4,2
863,2736,Network,Low,16,5
864,7188,Refund,Low,20,5
865,14356,Login,Medium,14,2
866,1640,Speed,High,10,2
867,2025,Network,Low,1,3
868,5996,Login,High,1,4
869,3437,Network,Low,8,2
870,2320,Technical,Low,16,2
871,10510,Refund,Low,14,1
872,784,Speed,Medium,18,1
873,4776,Refund,Low,19,2
874,13691,Technical,Medium,18,1
875,4099,Speed,High,18,2
876,5011,Technical,Low,12,5
877,10926,Network,Low,14,3
878,13755,Technical,Medium,2,4
879,3167,Speed,Medium,3,3
880,2924,Technical,Low,2,5
881,6158,Billing,High,11,1
882,10773,Refund,Medium,20,5
883,122,Technical,Low,19,5
884,12972,Technical,High,18,5
885,9057,Technical,Medium,7,5
886,11268,Technical,Low,16,4
887,12530,Refund,Low,6,1
888,8659,Speed,Medium,20,2
889,12897,Billing,Low,18,2
890,9118,Network,Medium,6,3
