usage_id,customer_id,month,data_usage_gb,call_minutes,sms_count
85,11971,2024-08-06,439.86,3072,193
86,12137,2024-06-18,34.44,2654,437
87,9099,2024-02-24,85.67,3688,439
88,11914,2024-03-27,275.51,2200,239
89,14133,2024-06-06,62.27,78,331
90,1215,2024-07-09,405.97,2183,422
91,8660,2024-05-08,85.91,759,257
92,12704,2024-01-14,71.35,701,395
93,2952,2024-04-11,250.74,968,209
94,8520,2024-05-06,352.76,1754,254
95,5902,2024-09-19,256.18,3448,273
96,8125,2024-01-04,47.07,1230,117
97,14092,2024-04-13,137.56,1614,247
98,5633,2024-07-01,152.59,2022,43
99,11543,2024-01-08,169.76,2576,112
100,9128,2024-02-08,296.06,3939,321
101,1672,2024-07-23,374.39,3856,478
102,8909,2024-02-24,1.43,1282,75
103,11201,2024-03-28,270.65,1606,216
104,5606,2024-07-04,469.63,2101,219
105,3455,2024-06-25,413.38,2224,400
106,84,2024-07-13,308.8,2653,405
107,3930,2024-11-07,104.54,2459,134
108,8324,2024-05-22,478.67,1956,137
109,2211,2024-05-14,120.85,3070,319
110,13945,2024-07-08,432.35,1836,363
111,7209,2024-06-05,210.64,3761,230
112,1838,2024-10-08,172.17,1887,145
113,12935,2024-07-06,1.32,308,117
114,14449,2024-05-18,370.82,3095,465
115,5815,2024-09-06,390.64,1977,14
116,9912,2024-06-13,314.28,3608,418
117,4056,2024-12-11,149.83,3962,335
118,14441,2024-08-30,381.83,2748,94
119,9045,2024-04-21,164.31,1151,336
120,4660,2024-10-06,69.86,2611,182
121,11060,2024-04-16,345.43,387,54
122,242,2024-01-05,395.15,1009,405
123,12758,2024-06-29,63.71,3452,422
124,340,2024-07-13,296.94,1590,415
125,13219,2024-12-02,244.82,1571,15
126,12889,2024-05-24,360.03,130,67
127,13710,2024-09-09,386.0,3639,352
128,1015,2024-02-15,55.51,3072,190
129,14835,2024-01-30,424.46,1239,273
130,14282,2024-07-16,14.94,807,488
131,5634,2024-04-09,496.53,2043,468
132,11415,2024-05-19,246.45,2594,225
133,1597,2024-10-23,272.9,3983,224
134,4272,2024-01-29,190.93,74,13
135,1992,2024-06-13,416.37,121,120
136,9359,2024-07-01,325.57,1599,15
137,1525,2024-12-02,156.93,1625,63
138,782,2024-04-20,234.28,1540,158
139,14482,2024-06-12,360.35,2199,47
140,9745,2024-06-27,363.53,553,453
141,4550,2024-01-09,158.36,3186,474
142,14430,2024-12-25,205.19,3231,394
143,259,2024-01-23,327.54,2100,114
144,10707,2024-09-26,16.35,2494,392
145,7815,2024-11-18,280.35,2053,133
146,7803,2024-12-10,154.73,3911,126
147,8897,2024-06-07,467.8,605,459
148,14491,2024-03-29,156.35,939,47
149,1378,2024-07-26,245.57,3328,163
150,14900,2024-12-16,162.38,2102,200
151,12402,2024-01-27,443.02,453,45
152,13972,2024-09-09,440.3,3544,61
153,14330,2024-02-10,341.68,3270,375
154,13273,2024-05-06,322.32,2885,210
155,7172,2024-08-09,126.83,2576,193
156,8591,2024-08-20,214.5,576,30
157,12961,2024-06-03,310.68,3086,248
158,13365,2024-11-21,277.3,529,276
159,5169,2024-10-22,31.64,1095,164
160,661,2024-09-07,280.4,1118,77
161,13489,2024-02-29,479.77,3240,447
162,14906,2024-01-07,233.2,2288,380
163,9912,2024-04-29,175.76,132,228
164,3902,2024-05-20,35.69,2429,38
165,4289,2024-02-25,173.34,3211,104
166,14592,2024-06-09,108.93,2923,136
167,10440,2024-01-14,168.48,2939,499
168,11536,2024-11-11,152.09,2772,211
169,7084,2024-12-21,39.59,368,336
170,6242,2024-10-04,87.76,2003,257
171,7330,2024-01-10,242.1,2129,283
172,11937,2024-07-10,336.03,2557,203
173,8274,2024-11-10,110.46,460,398
174,5609,2024-05-20,466.36,531,37
175,2770,2024-11-02,476.18,2181,206
176,11985,2024-11-12,195.91,536,390
177,14706,2024-05-20,245.59,319,428
178,4090,2024-03-13,354.36,2765,38
179,13102,2024-07-11,227.92,1262,308
180,7355,2024-07-14,176.01,3339,357
181,5687,2024-05-22,471.28,1131,216
182,4148,2024-06-29,49.66,1337,51
183,3255,2024-12-28,376.69,3978,369
184,11317,2024-01-05,323.25,1237,433
185,14395,2024-01-15,406.83,2742,441
186,13950,2024-06-21,439.73,1553,233
187,8868,2024-09-24,217.23,2163,246
188,11008,2024-09-16,269.06,677,200
189,10888,2024-07-08,264.17,1979,472
190,3631,2024-11-10,332.37,1919,465
191,13793,2024-05-03,385.07,3866,177
192,5567,2024-11-30,360.06,2413,223
193,6514,2024-01-15,355.88,2487,402
194,5013,2024-12-19,454.73,3094,284
195,7444,2024-12-22,86.74,342,417
196,14283,2024-10-25,344.85,2494,259
197,7460,2024-10-31,403.26,3811,134
198,12802,2024-12-09,102.65,2706,371
199,2324,2024-07-22,445.65,2622,182
200,14291,2024-01-18,240.38,1389,69
201,5573,2024-04-02,81.74,3856,261
202,3769,2024-09-25,386.32,2393,160
203,2390,2024-07-31,412.81,3608,287
204,10503,2024-12-09,6.14,1174,436
205,754,2024-04-06,329.64,2773,197
206,4263,2024-04-01,452.77,1431,386
207,4119,2024-09-13,61.09,1906,426
208,4872,2024-02-02,35.38,664,29
209,7218,2024-02-17,329.51,2542,426
210,2224,2024-08-05,285.5,1658,437
211,7765,2024-07-16,433.06,452,16
212,578,2024-10-02,225.64,3044,356
213,7061,2024-09-12,277.0,3128,269
214,8354,2024-10-25,48.63,3684,394
215,13169,2024-11-14,202.15,3964,139
216,11845,2024-08-09,408.16,2679,288
217,5580,2024-04-15,347.69,2932,192
218,2822,2024-12-27,340.75,2337,28
219,3422,2024-08-29,475.85,1050,80
220,671,2024-08-03,187.94,1346,156
221,1274,2024-02-26,348.01,3373,172
222,14717,2024-08-14,315.77,279,2
223,1376,2024-06-28,142.57,264,333
224,10931,2024-04-19,375.92,708,324
225,5165,2024-08-25,424.6,3757,272
226,956,2024-03-10,234.42,779,143
227,12208,2024-12-23,8.11,752,427
228,3482,2024-02-21,216.48,2687,189
229,13339,2024-09-04,132.18,972,471
230,14910,2024-08-20,57.42,3248,237
231,11697,2024-07-27,83.73,3471,485
232,645,2024-03-20,265.85,3675,21
233,10648,2024-11-27,126.32,3132,356
234,7576,2024-03-29,216.35,2360,219
235,1131,2024-03-16,347.19,3215,414
236,14327,2024-01-27,314.57,1500,314
237,6702,2024-01-08,462.3,2000,127
238,12614,2024-07-20,337.53,2664,217
239,1870,2024-06-10,4.45,3728,210
240,11997,2024-04-09,218.61,3762,476
241,5775,2024-06-07,394.25,1911,229
242,6815,2024-03-08,43.23,951,119
243,10641,2024-12-14,418.96,1480,490
244,7432,2024-03-06,316.14,3167,350
245,6496,2024-01-16,66.25,3836,169
246,14582,2024-11-23,419.04,2207,86
247,6900,2024-09-07,492.89,2455,266
248,10287,2024-01-04,95.8,608,330
249,14310,2024-11-05,344.83,1030,487
250,8672,2024-03-12,181.47,2502,288
251,10811,2024-08-10,146.79,1833,307
252,6204,2024-06-20,61.21,2845,344
253,14940,2024-12-01,101.38,2977,195
254,4950,2024-03-07,94.11,2329,263
255,8580,2024-08-18,70.03,3032,255
256,14242,2024-05-19,13.06,218,199
257,13224,2024-04-13,117.56,908,425
258,3034,2024-07-13,192.77,123,184
259,14234,2024-10-12,197.6,893,9
260,13008,2024-04-16,213.4,2276,27
261,618,2024-05-02,314.98,3691,117
262,3031,2024-06-23,302.98,3989,170
263,14902,2024-10-20,1.04,2212,152
264,10488,2024-07-12,108.58,1748,35
265,5119,2024-03-20,93.39,3094,166
266,14334,2024-09-07,346.48,2540,378
267,1669,2024-05-25,100.73,2672,142
268,9190,2024-11-10,182.37,452,428
269,11451,2024-08-10,396.93,3715,375
270,7355,2024-05-07,198.65,2253,151
271,3361,2024-04-06,438.58,482,56
272,13195,2024-04-12,31.02,2618,233
273,7428,2024-12-08,232.26,2886,246
274,136,2024-02-07,89.71,2187,394
275,173,2024-09-19,219.09,2974,411
276,927,2024-10-20,204.43,3917,361
277,6587,2024-11-23,226.66,135,108
278,14662,2024-12-07,279.63,759,79
279,4167,2024-04-04,353.66,219,73
280,7420,2024-11-29,73.37,2825,47
281,13224,2024-02-09,258.59,3585,319
282,8288,2024-07-03,197.67,1537,60
283,11345,2024-09-22,396.63,3239,129
284,12696,2024-01-09,159.6,2125,496
285,2663,2024-08-02,292.12,3357,347
286,9110,2024-11-04,131.41,3750,393
287,10061,2024-05-05,57.62,1069,41
288,10311,2024-04-18,303.41,3917,364
289,11399,2024-08-23,276.99,2069,89
290,642,2024-01-24,333.96,2368,270
291,10588,2024-08-26,144.04,3576,1
292,2289,2024-05-05,77.71,204,474
293,3900,2024-04-04,392.59,63,463
294,5628,2024-07-01,162.15,2589,80
295,1113,2024-12-14,394.94,1726,58
296,9456,2024-08-04,378.5,300,340
297,10966,2024-06-23,375.28,3211,95
298,1361,2024-11-16,83.75,2817,412
299,13864,2024-07-13,163.17,1644,409
300,2843,2024-04-06,152.27,1318,366
301,1477,2024-02-25,161.71,1844,398
302,13159,2024-07-23,227.03,453,354
303,4970,2024-09-28,80.12,1216,216
304,4648,2024-07-09,417.78,548,86
305,7768,2024-10-06,199.01,1982,282
306,5762,2024-08-28,353.65,3697,482
307,7315,2024-11-28,487.62,3070,25
308,5537,2024-06-04,385.04,2969,278
309,13861,2024-12-17,429.46,2216,320
310,10939,2024-05-01,236.83,1358,124
311,778,2024-04-02,166.09,864,396
312,1597,2024-12-03,477.35,2427,330
313,10525,2024-07-20,474.09,1015,232
314,8073,2024-05-19,89.84,2174,104
315,5737,2024-09-16,263.79,2652,268
316,11793,2024-10-31,250.95,277,260
317,9839,2024-07-10,191.94,150,264
318,11260,2024-09-15,79.66,2432,238
319,11423,2024-03-03,60.27,1358,403
320,10412,2024-12-26,54.11,3716,140
321,11669,2024-08-02,82.06,516,497
322,8712,2024-01-28,302.5,3809,369
323,10446,2024-02-26,219.67,1888,126
324,993,2024-10-05,252.81,3556,46
325,11457,2024-01-22,244.1,2452,211
326,11753,2024-02-08,235.89,1320,236
327,5232,2024-05-06,109.17,841,80
328,96,2024-08-08,123.59,915,355
329,9281,2024-09-15,44.16,3374,48
330,12735,2024-08-30,105.73,3894,494
331,6529,2024-01-25,175.35,2118,51
332,1996,2024-07-23,453.31,551,377
333,7729,2024-10-07,468.57,1963,416
334,7221,2024-08-19,11.8,3576,116
335,9675,2024-01-08,294.53,186,113
336,696,2024-08-12,124.39,2760,221
337,12451,2024-01-29,249.36,2946,154
338,14207,2024-07-18,4.05,3134,293
339,5570,2024-07-08,80.29,1156,39
340,681,2024-10-14,335.19,2005,492
341,7950,2024-04-09,192.15,2175,468
342,8848,2024-08-05,160.34,3650,461
343,14671,2024-07-16,327.68,1298,361
344,10818,2024-06-23,112.98,2261,234
345,13824,2024-02-14,267.69,1584,207
346,2426,2024-03-05,176.84,3722,50
347,8617,2024-03-01,26.78,2961,309
348,295,2024-08-22,160.6,2410,438
349,12364,2024-04-15,271.64,3998,277
350,13485,2024-10-05,287.46,1071,170
351,8686,2024-03-17,347.07,952,296
352,11570,2024-07-02,455.26,2341,93
353,10204,2024-10-11,259.87,999,76
354,14371,2024-10-05,325.58,2320,80
355,3863,2024-01-07,133.62,3197,143
356,8733,2024-09-17,36.44,849,469
357,2955,2024-05-15,455.26,3092,46
358,10574,2024-03-29,181.86,102,87
359,7121,2024-11-15,169.39,3578,198
360,6017,2024-12-09,122.19,2231,116
361,5178,2024-08-09,359.45,1882,77
362,4675,2024-01-25,80.36,3066,55
363,7862,2024-10-21,215.36,3866,169
364,10898,2024-06-02,124.11,238,381
365,4499,2024-01-08,73.67,429,215
366,13192,2024-02-21,234.35,939,100
367,12748,2024-08-25,194.81,1094,7
368,1279,2024-11-06,444.19,572,172
369,1568,2024-07-10,50.29,853,262
370,11803,2024-01-23,226.25,221,315
371,1093,2024-05-01,86.55,1007,338
372,3047,2024-02-13,368.16,1318,426
373,6180,2024-01-08,6.95,182,459
374,5029,2024-05-13,223.08,2165,214
375,5847,2024-02-18,58.86,3243,245
376,3500,2024-02-18,70.67,2992,318
377,13314,2024-01-31,404.58,1864,141
378,10185,2024-06-18,311.75,1520,452
379,9366,2024-08-06,251.99,2697,217
380,847,2024-04-12,363.27,1257,223
381,543,2024-12-21,372.31,341,200
382,1160,2024-02-25,55.76,3601,160
383,9366,2024-09-09,117.69,3862,392
384,10162,2024-10-24,437.15,1604,462
385,2610,2024-04-21,3.39,1711,46
386,13166,2024-04-28,215.18,349,212
387,10169,2024-08-20,430.12,857,207
388,3936,2024-05-25,291.04,1446,183
389,3400,2024-09-14,456.34,667,43
390,9704,2024-01-15,241.41,1927,399
391,2788,2024-02-01,334.39,3021,132
392,2247,2024-05-23,328.87,2994,376
393,10493,2024-01-02,112.31,2502,345
394,10640,2024-11-05,108.61,1659,109
395,6702,2024-01-12,164.13,1897,440
396,5677,2024-12-12,490.14,3215,38
397,4890,2024-09-18,108.94,1981,117
398,3537,2024-05-28,401.83,3703,41
399,5190,2024-05-19,123.38,3410,233
400,13901,2024-07-25,287.71,3734,84
401,10538,2024-01-18,212.84,3532,44
402,12036,2024-08-10,340.44,2653,361
403,6244,2024-08-11,41.85,3960,159
404,6665,2024-11-02,499.31,3608,65
405,7168,2024-04-29,216.44,1913,499
406,9995,2024-07-02,283.28,22,219
407,5221,2024-05-12,275.86,1268,316
408,13038,2024-07-12,418.62,1902,38
409,4800,2024-06-14,446.82,1022,367
410,6203,2024-01-03,467.76,3765,338
411,7512,2024-12-26,479.04,2096,381
412,3531,2024-01-17,88.41,3765,312
413,4137,2024-10-13,125.25,262,409
414,3664,2024-03-30,383.28,2587,35
415,7866,2024-09-17,17.53,2615,491
416,5488,2024-11-11,365.91,1176,398
417,7322,2024-10-27,225.32,833,194
418,6494,2024-09-26,261.28,1840,153
419,2090,2024-04-23,384.41,3515,414
420,6100,2024-02-05,21.96,3639,497
421,3887,2024-04-03,489.81,1608,83
422,8741,2024-12-30,99.9,3275,424
423,4601,2024-10-27,418.97,1964,42
424,12934,2024-11-25,311.51,1475,372
425,1879,2024-11-17,157.69,2449,204
426,6452,2024-06-24,401.59,3215,29
427,13238,2024-12-23,205.04,2090,15
428,4106,2024-10-12,145.14,271,401
429,1345,2024-11-24,442.23,3259,143
430,8925,2024-08-31,158.44,3542,206
431,9809,2024-09-15,5.36,2401,166
432,6597,2024-08-03,194.11,1715,262
433,10139,2024-11-01,346.95,1985,52
434,14609,2024-06-09,254.52,1400,94
435,8945,2024-04-10,376.31,3430,354
436,5215,2024-05-27,121.35,1392,43
437,12483,2024-01-22,223.76,863,450
438,2113,2024-03-10,27.12,2706,343
439,9424,2024-08-21,415.77,2787,464
440,2413,2024-10-14,257.06,1172,305
441,7958,2024-10-28,209.9,69,113
442,9018,2024-03-05,100.25,2516,228
443,3857,2024-02-12,27.61,77,124
444,10154,2024-12-22,121.79,2618,9
445,10955,2024-04-01,51.08,2368,220
446,6352,2024-05-02,455.67,137,20
447,1204,2024-12-09,445.16,3459,9
448,3999,2024-06-10,279.24,2932,141
449,7394,2024-12-09,3.92,3313,368
450,893,2024-11-10,266.34,3379,440
451,5883,2024-12-22,35.6,1056,450
452,13062,2024-02-22,128.91,339,320
453,10553,2024-12-03,154.46,2190,121
454,1054,2024-03-01,471.98,612,442
455,14778,2024-05-04,194.14,506,86
456,11166,2024-05-14,125.23,2942,133
457,9197,2024-12-05,355.53,3411,240
458,4540,2024-05-13,11.04,3108,327
459,10385,2024-10-21,372.24,3139,176
460,12482,2024-05-12,295.53,3984,280
461,2819,2024-12-13,200.85,1394,243
462,176,2024-03-23,207.75,776,326
463,13916,2024-08-31,107.0,2178,290
464,14139,2024-04-26,373.75,21,455
465,12590,2024-11-08,362.87,3559,452
466,4421,2024-12-19,183.47,1811,416
467,12781,2024-03-07,99.18,1496,386
468,12441,2024-03-27,300.64,1318,382
469,3144,2024-04-21,437.25,3281,316
470,4044,2024-04-17,24.15,1510,345
471,13556,2024-08-13,282.4,2428,422
472,3448,2024-07-07,311.03,3537,186
473,3974,2024-07-04,16.72,1341,13
474,12044,2024-09-01,254.77,2451,147
475,11740,2024-08-24,273.93,3739,4
476,8080,2024-03-11,368.65,2898,233
477,12898,2024-03-23,431.03,2779,93
478,185,2024-12-15,19.56,3908,138
479,14843,2024-10-05,360.75,1643,46
480,12111,2024-02-01,200.65,2958,442
481,10606,2024-05-30,163.65,705,74
482,3665,2024-05-12,484.63,1927,73
483,7296,2024-11-15,315.96,3757,384
484,670,2024-06-04,489.16,679,417
485,5839,2024-01-15,274.66,2252,174
486,3759,2024-09-21,29.42,2417,114
487,13421,2024-10-01,185.6,1184,443
488,13179,2024-11-08,213.31,2899,180
489,13958,2024-01-05,9.28,3151,178
490,6929,2024-02-23,378.52,2140,139
491,12106,2024-04-14,127.05,197,135
492,6400,2024-08-14,92.47,642,237
493,885,2024-09-24,289.58,2261,373
494,593,2024-11-12,394.86,2764,124
495,13083,2024-07-24,246.06,929,314
496,14527,2024-02-07,300.06,3995,198
497,14825,2024-03-06,262.01,2152,394
498,2252,2024-02-18,440.83,243,173
499,5964,2024-05-23,80.67,920,438
500,14916,2024-06-27,113.03,3975,458
501,12399,2024-08-01,423.42,148,249
502,13354,2024-06-24,207.31,836,205
503,12226,2024-04-08,142.79,652,309
504,10340,2024-11-30,34.79,1653,11
505,8015,2024-08-12,295.51,2846,195
506,2696,2024-11-17,287.22,3946,370
507,10470,2024-10-10,361.13,993,66
508,13765,2024-01-22,291.04,1148,381
509,10886,2024-12-04,486.41,2976,122
510,4366,2024-05-08,17.96,1270,13
511,276,2024-05-25,134.59,407,163
512,6042,2024-03-25,233.71,3374,148
513,1380,2024-03-06,109.09,450,33
514,6551,2024-02-10,41.59,882,313
515,4347,2024-06-22,164.27,572,6
516,1677,2024-12-15,478.12,1717,496
517,10929,2024-06-07,174.16,3404,150
518,7474,2024-03-04,119.36,589,72
519,4172,2024-09-21,99.84,1665,438
520,8477,2024-06-12,130.98,2125,347
521,7748,2024-11-15,121.76,698,47
522,4075,2024-08-01,91.05,290,185
523,3990,2024-01-16,239.54,2004,239
524,6666,2024-09-15,336.04,2521,393
525,7667,2024-02-23,198.23,2909,189
526,1194,2024-10-22,91.97,1447,239
527,6324,2024-01-05,300.85,3465,419
528,14727,2024-01-17,69.89,237,152
529,8580,2024-03-08,140.89,3031,427
530,588,2024-11-06,355.23,2934,486
531,13961,2024-08-12,186.39,3952,444
532,1077,2024-06-20,287.44,238,342
533,14995,2024-08-26,254.81,3077,494
534,12845,2024-07-25,286.97,600,373
535,12065,2024-07-15,3.57,3855,422
536,6199,2024-06-12,263.51,1522,198
537,14124,2024-07-20,101.94,2422,209
538,12570,2024-09-10,56.6,3449,14
539,6634,2024-10-26,167.61,3965,142
540,1759,2024-04-26,20.99,1127,470
541,12749,2024-07-29,491.29,918,116
542,13815,2024-01-31,247.35,1149,228
543,4508,2024-03-01,169.51,2808,30
544,13563,2024-01-30,431.32,1458,473
545,13781,2024-09-02,87.98,685,300
546,14007,2024-11-26,244.89,1706,301
547,5110,2024-11-03,333.62,1824,195
548,12745,2024-07-31,210.54,1726,276
549,7349,2024-12-20,275.22,3928,422
550,9378,2024-04-10,228.66,2639,160
551,9282,2024-07-08,100.37,2100,493
552,6834,2024-10-23,385.26,887,425
553,9177,2024-05-03,7.11,201,228
554,1157,2024-12-29,251.08,1497,438
555,12706,2024-10-11,42.74,392,281
556,6961,2024-11-07,339.51,3693,412
557,1557,2024-04-12,145.85,375,213
558,6726,2024-12-02,440.36,2423,96
559,13922,2024-01-14,59.87,1430,240
560,9375,2024-07-07,51.71,1776,260
561,12094,2024-06-13,82.81,715,441
562,658,2024-03-29,372.53,1547,439
563,7078,2024-04-13,369.7,1689,465
564,4299,2024-06-08,174.58,3313,156
565,13064,2024-05-11,425.21,1456,221
566,10810,2024-06-12,293.53,2781,77
567,9765,2024-09-07,217.86,2175,388
568,10932,2024-04-18,19.19,2442,172
569,5294,2024-11-09,96.74,3388,80
570,10529,2024-03-03,226.15,1848,309
571,315,2024-04-15,40.55,3724,119
572,9140,2024-05-08,391.14,909,163
573,3312,2024-06-23,38.47,137,50
574,8556,2024-04-07,264.29,3658,272
575,11404,2024-03-31,52.88,160,44
576,9334,2024-10-20,56.55,1589,45
577,1223,2024-06-15,364.99,1367,407
578,6006,2024-11-28,264.21,3656,446
579,13534,2024-11-24,150.79,2277,169
580,10780,2024-10-27,359.38,3728,141
581,5173,2024-06-12,411.71,1568,358
582,4305,2024-01-21,204.41,2068,247
583,2485,2024-11-21,444.49,1374,276
584,7577,2024-06-26,57.91,1769,422
585,1109,2024-06-28,294.82,3504,317
586,1757,2024-12-24,412.65,3537,422
587,8536,2024-01-02,157.77,1417,390
588,2721,2024-05-26,34.77,3147,442
589,13237,2024-06-25,23.61,3124,114
590,2681,2024-09-27,99.02,3732,479
591,9272,2024-03-20,499.73,1306,210
592,12696,2024-10-30,73.96,172,39
593,14433,2024-04-18,161.52,1585,157
594,12340,2024-01-18,346.63,2657,24
595,4077,2024-11-30,351.65,473,180
596,11106,2024-12-11,77.63,3985,486
597,770,2024-07-11,478.59,3992,307
598,8054,2024-04-26,171.65,507,193
599,3870,2024-10-09,299.03,2765,363
600,39,2024-02-26,15.17,2539,72
601,9929,2024-10-01,494.17,2858,7
602,14767,2024-04-25,461.72,2736,305
603,187,2024-04-14,194.47,2527,340
604,7894,2024-04-28,119.71,543,268
605,7722,2024-12-16,108.75,505,469
606,13171,2024-07-16,356.17,3144,168
607,8579,2024-02-18,102.71,1805,216
608,7312,2024-02-21,35.98,2660,111
609,6500,2024-02-07,332.04,2861,331
610,5944,2024-04-10,429.9,198,423
611,3075,2024-04-26,388.24,1122,36
612,13697,2024-05-26,485.12,206,172
613,8749,2024-12-23,328.82,864,115
614,7280,2024-06-25,296.53,619,55
615,11235,2024-06-27,17.33,3439,152
616,10317,2024-08-31,102.01,1982,31
617,470,2024-05-24,382.73,1961,238
618,3777,2024-05-07,104.36,1586,295
619,13393,2024-12-06,373.11,823,64
620,12740,2024-09-01,10.29,622,286
621,2163,2024-11-18,250.2,605,224
622,8063,2024-11-27,122.85,1692,374
623,8604,2024-09-29,283.01,3175,65
624,11269,2024-08-16,127.1,3417,216
625,4146,2024-04-19,267.08,2408,253
626,4460,2024-10-12,460.89,976,86
627,13290,2024-01-27,366.15,593,20
628,5038,2024-06-07,480.76,2463,342
629,10665,2024-02-01,16.95,3189,51
630,13096,2024-12-30,24.37,2494,395
631,12797,2024-04-07,137.02,2067,145
632,3394,2024-05-12,463.85,272,366
633,8085,2024-05-31,48.53,547,102
634,12851,2024-08-09,493.28,2968,490
635,12395,2024-04-02,109.79,1126,268
636,7971,2024-04-12,435.01,3311,93
637,896,2024-01-03,443.05,1483,171
638,7900,2024-04-05,210.32,395,286
639,14714,2024-10-22,298.11,551,298
640,1982,2024-11-23,315.1,2344,390
641,2428,2024-02-01,107.66,3705,244
642,3366,2024-01-06,173.78,2847,292
643,11545,2024-05-27,157.03,1037,416
644,3592,2024-02-11,117.67,1936,336
645,336,2024-05-23,19.75,3377,283
646,6212,2024-07-24,345.87,2862,388
647,1597,2024-08-28,97.7,1175,418
648,13482,2024-01-01,307.25,3126,263
649,7689,2024-01-17,204.34,3803,472
650,5467,2024-08-01,329.68,926,5
651,2910,2024-05-28,436.83,457,429
652,6030,2024-12-12,34.5,3235,321
653,4198,2024-10-14,106.82,2733,190
654,12609,2024-11-12,209.77,3220,480
655,2743,2024-01-20,198.15,3693,494
656,805,2024-10-28,192.16,372,55
657,5413,2024-08-21,10.25,3804,205
658,8253,2024-10-19,264.64,3544,268
659,10438,2024-05-20,154.52,3526,45
660,9530,2024-03-06,425.34,3963,346
661,14425,2024-03-09,311.13,2715,382
662,8588,2024-02-09,61.13,2684,331
663,3394,2024-02-17,420.94,3012,56
664,14616,2024-12-16,315.61,1518,496
665,14030,2024-08-25,199.44,84,335
666,4211,2024-11-27,278.46,3691,434
667,6537,2024-06-02,97.14,892,374
668,12914,2024-11-27,251.21,2224,89
669,2635,2024-01-03,359.91,1298,363
670,8375,2024-07-22,366.39,2525,330
671,8443,2024-07-28,22.01,3009,454
672,3467,2024-10-17,219.65,3482,190
673,1472,2024-05-24,497.3,2144,80
